商品,價格1,價格2,網址,圖片
"精修重音版 新制日檢！絕對合格N1,N2,N3,N4,N5必背單字大全（25K+MP3）",467,467,https://shopee.tw//精修重音版-新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全（25K-MP3）-i.83024609.2160522583,https://cf.shopee.tw/file/ae64685e81b274edb884d14d2f56ce64_tn
《瑞蘭國際》新日檢N2單字帶著背！[9折],269,269,https://shopee.tw//《瑞蘭國際》新日檢N2單字帶著背！-9折--i.42458033.1792079680,https://cf.shopee.tw/file/77e893aa1b88b46fd96d0ed410664e65_tn
"日檢N2套書：精修版 新制對應 絕對合格！日檢必背 [單字,文法,閱讀,聽力] N2熱銷套書（25K＋MP3）",220,916,https://shopee.tw//日檢N2套書：精修版-新制對應-絕對合格！日檢必背-單字-文法-閱讀-聽力-N2熱銷套書（25K＋MP3）-i.163145167.6500909623,https://cf.shopee.tw/file/6f81063eeb16a22ebd158795dc6e6af8_tn
精修重音版 新制對應 絕對合格！日檢必背單字N2 (25K+MP3),308,308,https://shopee.tw//精修重音版-新制對應-絕對合格！日檢必背單字N2-(25K-MP3)-i.163113630.2757675609,https://cf.shopee.tw/file/47737af4841113c4d6e8757ed4d1374d_tn
合格快手！新日檢必考單字速成N1 N2 N3 N4 N5（附MP3）,255,255,https://shopee.tw//合格快手！新日檢必考單字速成N1-N2-N3-N4-N5（附MP3）-i.192717465.3439327785,https://cf.shopee.tw/file/2b92325306158e138f722a4df8c59ce5_tn
"新日檢JLPT N2 關鍵540題+關鍵單字2,500",583,583,https://shopee.tw//新日檢JLPT-N2-關鍵540題-關鍵單字2-500-i.121090005.2088075154,https://cf.shopee.tw/file/2f781f969bb808e53f6b714636b420bd_tn
精修版 新制對應 絕對合格！日檢必背單字N2（25K＋MP3）  大家學標準日本語DVD,100,150,https://shopee.tw//精修版-新制對應-絕對合格！日檢必背單字N2（25K＋MP3）-大家學標準日本語DVD-i.22460971.434451516,https://cf.shopee.tw/file/eca036b388d50c006201b5fc0ebfef7e_tn
(山田社)絕對合格！新制日檢 必勝N2情境分類單字 (25K+MP3),254,254,https://shopee.tw//(山田社)絕對合格！新制日檢-必勝N2情境分類單字-(25K-MP3)-i.163145167.6201465498,https://cf.shopee.tw/file/ef42ea7e9aac86edf6068b9bfd4b8475_tn
最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！,359,359,https://shopee.tw//最新版日檢單字N5、N4、N3、N2、N1絕對合格一擊必殺！-i.13135834.1005346558,https://cf.shopee.tw/file/ce5bf9433604df89a64c812edafbf7db_tn
浩瀚星海【日語學習】二手《高分．暢銷！10000單字，搞定新日檢：N1.N2.N3.N4.N5必考單字（最新版）》布可屋,220,220,https://shopee.tw//浩瀚星海【日語學習】二手《高分．暢銷！10000單字，搞定新日檢：N1.N2.N3.N4.N5必考單字（最新版）》布可屋-i.35699463.3209277031,https://cf.shopee.tw/file/7c3c0a4b2d0f72ae382c9041fb98742a_tn
